"_","_Id","MANAERP__Sequence__c","MANAERP__Partner_Internal_Id__c","Name"
"[MANAERP__Grade__c]","a1AH3000000cSSTMA2","10","42","大2"
"[MANAERP__Grade__c]","a1AH3000000cSSUMA2","5","23","中3"
"[MANAERP__Grade__c]","a1AH3000000cSSVMA2","4","22","中2"
"[MANAERP__Grade__c]","a1AH3000000cSSWMA2","2","16","小6"
"[MANAERP__Grade__c]","a1AH3000000cSRzMAM","999","NULL","-"
"[MANAERP__Grade__c]","a1AH3000000cSSOMA2","12","44","大4"
"[MANAERP__Grade__c]","a1AH3000000cSSPMA2","6","31","高1"
"[MANAERP__Grade__c]","a1AH3000000cSS9MAM","11","43","大3"
"[MANAERP__Grade__c]","a1AH3000000cSSEMA2","1","15","小5"
"[MANAERP__Grade__c]","a1AH3000000cSSYMA2","8","33","高3"
"[MANAERP__Grade__c]","a1AH3000000cSSZMA2","7","32","高2"
"[MANAERP__Grade__c]","a1AH3000000cSSiMAM","3","21","中1"
"[MANAERP__Grade__c]","a1AH3000000cSSdMAM","9","41","大1"